Published_Year,Assembly_Accession,Organism_Name,Species,Genus,Family,Order,Class,Phylum
2014,GCF_000583755.1,Campylobacter coli RM1875,195,194,72294,213849,29547,1224
2014,GCF_000583795.1,Campylobacter coli RM5611,195,194,72294,213849,29547,1224
2014,GCF_000759485.1,Campylobacter fetus subsp. fetus 04/554,196,194,72294,213849,29547,1224
2014,GCF_000759515.1,Campylobacter fetus subsp. venerealis 97/608,196,194,72294,213849,29547,1224
2014,GCF_000967135.1,Campylobacter fetus subsp. venerealis str. 84-112,196,194,72294,213849,29547,1224
2014,GCF_000171795.2,Campylobacter jejuni subsp. jejuni CG8421,197,194,72294,213849,29547,1224
2014,GCF_000466065.2,Campylobacter jejuni subsp. jejuni 00-2538,197,194,72294,213849,29547,1224
2014,GCF_000466075.2,Campylobacter jejuni subsp. jejuni 00-2544,197,194,72294,213849,29547,1224
2014,GCF_000466105.2,Campylobacter jejuni subsp. jejuni 00-2426,197,194,72294,213849,29547,1224
2014,GCF_000468915.2,Campylobacter jejuni subsp. jejuni 00-2425,197,194,72294,213849,29547,1224
2014,GCF_000737085.1,Campylobacter jejuni subsp. jejuni,197,194,72294,213849,29547,1224
2014,GCF_000772225.1,Campylobacter jejuni subsp. jejuni F38011,197,194,72294,213849,29547,1224
2014,GCF_000830775.1,Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5,197,194,72294,213849,29547,1224
2014,GCF_000830805.1,Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1,197,194,72294,213849,29547,1224
2014,GCF_000830825.1,Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5,197,194,72294,213849,29547,1224
2014,GCF_000830845.1,Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5,197,194,72294,213849,29547,1224
2014,GCF_000830865.1,Campylobacter jejuni subsp. jejuni NCTC 11168-GSv,197,194,72294,213849,29547,1224
2014,GCF_000392455.3,Helicobacter pylori UM032,210,209,72293,213849,29547,1224
2014,GCF_000392475.3,Helicobacter pylori UM299,210,209,72293,213849,29547,1224
2014,GCF_000392515.3,Helicobacter pylori UM037,210,209,72293,213849,29547,1224
2014,GCF_000392535.3,Helicobacter pylori UM066,210,209,72293,213849,29547,1224
2014,GCF_000439295.2,Helicobacter pylori UM298,210,209,72293,213849,29547,1224
2014,GCF_000600045.1,Helicobacter pylori oki102,210,209,72293,213849,29547,1224
2014,GCF_000600085.1,Helicobacter pylori oki112,210,209,72293,213849,29547,1224
2014,GCF_000600125.1,Helicobacter pylori oki128,210,209,72293,213849,29547,1224
2014,GCF_000600145.1,Helicobacter pylori oki154,210,209,72293,213849,29547,1224
2014,GCF_000600165.1,Helicobacter pylori oki422,210,209,72293,213849,29547,1224
2014,GCF_000600185.1,Helicobacter pylori oki673,210,209,72293,213849,29547,1224
2014,GCF_000600205.1,Helicobacter pylori oki828,210,209,72293,213849,29547,1224
2014,GCF_000600225.1,Helicobacter pylori oki898,210,209,72293,213849,29547,1224
2014,GCF_000685625.1,Helicobacter pylori J166,210,209,72293,213849,29547,1224
2014,GCF_000685665.1,Helicobacter pylori,210,209,72293,213849,29547,1224
2014,GCF_000685705.1,Helicobacter pylori,210,209,72293,213849,29547,1224
2014,GCF_000685745.1,Helicobacter pylori,210,209,72293,213849,29547,1224
2014,GCF_000828955.1,Helicobacter pylori NY40,210,209,72293,213849,29547,1224
2014,GCF_000740135.1,Brucella abortus,235,234,118882,356,28211,1224
2014,GCF_000740155.1,Brucella abortus,235,234,118882,356,28211,1224
2014,GCF_000740175.1,Brucella abortus,235,234,118882,356,28211,1224
2014,GCF_000740195.1,Brucella abortus bv. 9 str. C68,235,234,118882,356,28211,1224
2014,GCF_000740215.1,Brucella abortus bv. 6 str. 870,235,234,118882,356,28211,1224
2014,GCF_000740295.1,Brucella abortus,235,234,118882,356,28211,1224
2014,GCF_000740315.1,Brucella abortus,235,234,118882,356,28211,1224
2014,GCF_000740375.1,Brucella abortus bv. 2 str. 86/8/59,235,234,118882,356,28211,1224
2014,GCF_000524575.1,Francisella tularensis subsp. holarctica PHIT-FT049,263,262,34064,72273,1236,1224
2014,GCF_000739375.1,Comamonas testosteroni TK102,285,283,80864,80840,28216,1224
2014,GCF_000473745.2,Pseudomonas aeruginosa VRFPA04,287,286,135621,72274,1236,1224
2014,GCF_000524595.1,Pseudomonas aeruginosa YL84,287,286,135621,72274,1236,1224
2014,GCF_000829255.1,Pseudomonas aeruginosa,287,286,135621,72274,1236,1224
2014,GCF_000829275.1,Pseudomonas aeruginosa,287,286,135621,72274,1236,1224
2014,GCF_000755805.1,Burkholderia cepacia,292,32008,119060,80840,28216,1224
2014,GCF_003546465.1,Burkholderia cepacia ATCC 25416,292,32008,119060,80840,28216,1224
2014,GCF_000730425.1,Pseudomonas fluorescens,294,286,135621,72274,1236,1224
2014,GCF_000495455.2,Pseudomonas putida S12,303,286,135621,72274,1236,1224
2014,GCF_000691565.1,Pseudomonas putida,303,286,135621,72274,1236,1224
2014,GCF_000590475.1,Pseudomonas stutzeri,316,286,135621,72274,1236,1224
2014,GCF_000661915.1,Pseudomonas stutzeri,316,286,135621,72274,1236,1224
2014,GCF_000452705.1,Pseudomonas syringae CC1557,317,286,135621,72274,1236,1224
2014,GCF_000297075.2,Pseudomonas pseudoalcaligenes CECT 5344,330,286,135621,72274,1236,1224
2014,GCF_000953455.1,Pseudomonas pseudoalcaligenes,330,286,135621,72274,1236,1224
2014,GCF_000807315.1,Bradyrhizobium japonicum,375,374,41294,356,28211,1224
2014,GCF_000747295.1,Sinorhizobium meliloti,382,28105,82115,356,28211,1224
2014,GCF_000517605.1,Rhizobium leguminosarum bv. trifolii WSM1689,384,379,82115,356,28211,1224
2014,GCF_000520875.1,Rhizobium leguminosarum bv. trifolii CB782,384,379,82115,356,28211,1224
2014,GCF_000731295.1,Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141,399,1525371,82115,356,28211,1224
2014,GCF_000731315.1,Neorhizobium galegae bv. orientalis str. HAMBI 540,399,1525371,82115,356,28211,1224
2014,GCF_000583855.1,Gluconobacter oxydans DSM 3504,442,441,433,204441,28211,1224
2014,GCF_000953655.1,Legionella hackeliae,449,445,444,118969,1236,1224
2014,GCF_000953635.1,Tatlockia micdadei,451,465,444,118969,1236,1224
2014,GCF_000186665.3,Acinetobacter baumannii D1279779,470,469,468,72274,1236,1224
2014,GCF_000746605.1,Acinetobacter baumannii,470,469,468,72274,1236,1224
2014,GCF_000746645.1,Acinetobacter baumannii,470,469,468,72274,1236,1224
2014,GCF_000761175.1,Acinetobacter baumannii,470,469,468,72274,1236,1224
2014,GCF_000786735.1,Acinetobacter baumannii LAC-4,470,469,468,72274,1236,1224
2014,GCF_000828935.1,Acinetobacter baumannii,470,469,468,72274,1236,1224
2014,GCF_000740455.1,Moraxella catarrhalis,480,475,468,72274,1236,1224
2014,GCF_000766665.1,Moraxella catarrhalis,480,475,468,72274,1236,1224
2014,GCF_000626595.1,Neisseria meningitidis,487,482,481,206351,28216,1224
2014,GCF_000800235.1,Neisseria meningitidis,487,482,481,206351,28216,1224
2014,GCF_000800275.1,Neisseria meningitidis M7124,487,482,481,206351,28216,1224
2014,GCF_000800315.1,Neisseria meningitidis,487,482,481,206351,28216,1224
2014,GCF_000800355.1,Neisseria meningitidis,487,482,481,206351,28216,1224
2014,GCF_000829175.1,Bordetella bronchiseptica,518,517,506,80840,28216,1224
2014,GCF_000193595.2,Bordetella pertussis B1917,520,517,506,80840,28216,1224
2014,GCF_000193615.2,Bordetella pertussis B1920,520,517,506,80840,28216,1224
2014,GCF_000812165.1,Bordetella pertussis 137,520,517,506,80840,28216,1224
2014,GCF_000742955.1,Ochrobactrum anthropi,529,528,118882,356,28211,1224
2014,GCF_000576125.1,Zymomonas mobilis subsp. mobilis NRRL B-12526,542,541,41297,204457,28211,1224
2014,GCF_000576165.1,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023,542,541,41297,204457,28211,1224
2014,GCF_000648515.1,Citrobacter freundii CFNIH1,546,544,543,91347,1236,1224
2014,GCF_000724505.1,Enterobacter cloacae ECNIH2,550,547,543,91347,1236,1224
2014,GCF_000770155.1,Enterobacter cloacae,550,547,543,91347,1236,1224
2014,GCF_000784865.1,Enterobacter cloacae,550,547,543,91347,1236,1224
2014,GCF_000784905.1,Enterobacter cloacae,550,547,543,91347,1236,1224
2014,GCF_000285655.3,Escherichia coli O25b:H4-ST131,562,561,543,91347,1236,1224
2014,GCF_000520035.1,Escherichia coli O145:H28 str. RM13514,562,561,543,91347,1236,1224
2014,GCF_000520055.1,Escherichia coli O145:H28 str. RM13516,562,561,543,91347,1236,1224
2014,GCF_000597845.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000599625.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000599645.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000599665.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000599685.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000599705.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000662395.1,Escherichia coli O145:H28 str. RM12761,562,561,543,91347,1236,1224
2014,GCF_000671295.1,Escherichia coli O145:H28 str. RM12581,562,561,543,91347,1236,1224
2014,GCF_000714595.1,Escherichia coli Nissle 1917,562,561,543,91347,1236,1224
2014,GCF_000725305.1,Escherichia coli KLY,562,561,543,91347,1236,1224
2014,GCF_000730345.1,Escherichia coli O157:H7 str. SS17,562,561,543,91347,1236,1224
2014,GCF_000732965.1,Escherichia coli O157:H7 str. EDL933,562,561,543,91347,1236,1224
2014,GCF_000743255.1,Escherichia coli ATCC 25922,562,561,543,91347,1236,1224
2014,GCF_000750555.1,Escherichia coli BW25113,562,561,543,91347,1236,1224
2014,GCF_000784925.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000800215.1,Escherichia coli ER2796,562,561,543,91347,1236,1224
2014,GCF_000800765.1,Escherichia coli K-12,562,561,543,91347,1236,1224
2014,GCF_000801165.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000801205.1,Escherichia coli str. K-12 substr. MG1655,562,561,543,91347,1236,1224
2014,GCF_000803705.1,Escherichia coli O157:H7 str. SS52,562,561,543,91347,1236,1224
2014,GCF_000952955.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000953515.1,Escherichia coli,562,561,543,91347,1236,1224
2014,GCF_000597785.2,Hafnia alvei FB1,569,568,1903412,91347,1236,1224
2014,GCF_000714655.1,Klebsiella oxytoca KONIH1,571,570,543,91347,1236,1224
2014,GCF_000281435.2,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,573,570,543,91347,1236,1224
2014,GCF_000281535.2,Klebsiella pneumoniae subsp. pneumoniae KPNIH1,573,570,543,91347,1236,1224
2014,GCF_000597905.1,Klebsiella pneumoniae 30684/NJST258_2,573,570,543,91347,1236,1224
2014,GCF_000598005.1,Klebsiella pneumoniae 30660/NJST258_1,573,570,543,91347,1236,1224
2014,GCF_000695935.1,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,573,570,543,91347,1236,1224
2014,GCF_000714675.1,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,573,570,543,91347,1236,1224
2014,GCF_000717515.1,Klebsiella pneumoniae subsp. pneumoniae KPR0928,573,570,543,91347,1236,1224
2014,GCF_000733255.1,Klebsiella pneumoniae subsp. pneumoniae PittNDM01,573,570,543,91347,1236,1224
2014,GCF_000739495.1,Klebsiella pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000742755.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000764615.1,Klebsiella pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000775375.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000775395.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000775955.1,Klebsiella pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000784945.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000784985.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000785005.1,Klebsiella pneumoniae subsp. pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000968155.1,Klebsiella pneumoniae,573,570,543,91347,1236,1224
2014,GCF_000754345.1,Providencia stuartii,588,586,1903414,91347,1236,1224
2014,GCF_000828775.1,Serratia marcescens SM39,615,613,1903411,91347,1236,1224
2014,GCF_000953035.1,Shigella flexneri,623,620,543,91347,1236,1224
2014,GCF_000953355.1,Xenorhabdus nematophila AN6/1,628,626,1903414,91347,1236,1224
2014,GCF_000968115.1,Yersinia enterocolitica (type O:5) str. YE53/03,630,629,1903411,91347,1236,1224
2014,GCF_000750315.1,Yersinia pseudotuberculosis,633,629,1903411,91347,1236,1224
2014,GCF_000633175.1,Aeromonas hydrophila AL09-71,644,642,84642,135624,1236,1224
2014,GCF_000635955.1,Aeromonas hydrophila pc104A,644,642,84642,135624,1236,1224
2014,GCF_000287215.2,Aeromonas media WS,651,642,84642,135624,1236,1224
2014,GCF_000765415.1,Vibrio cholerae,666,662,641,135623,1236,1224
2014,GCF_000829215.1,Vibrio cholerae MS6,666,662,641,135623,1236,1224
2014,GCF_000770115.1,Vibrio harveyi,669,662,641,135623,1236,1224
2014,GCF_000568495.1,Vibrio parahaemolyticus UCM-V493,670,662,641,135623,1236,1224
2014,GCF_000746665.1,Vibrio vulnificus,672,662,641,135623,1236,1224
2014,GCF_000604045.1,Aggregatibacter actinomycetemcomitans HK1651,714,416916,712,135625,1236,1224
2014,GCF_000739435.1,Actinobacillus suis ATCC 33415,716,713,712,135625,1236,1224
2014,GCF_000801145.1,Actinobacillus equuli subsp. equuli,718,713,712,135625,1236,1224
2014,GCF_000698365.1,Haemophilus influenzae CGSHiCZ412602,727,724,712,135625,1236,1224
2014,GCF_000767075.1,Haemophilus influenzae,727,724,712,135625,1236,1224
2014,GCF_000740985.1,Glaesserella parasuis,738,2094023,712,135625,1236,1224
2014,GCF_000742795.1,Glaesserella parasuis,738,2094023,712,135625,1236,1224
2014,GCF_000754275.1,Pasteurella multocida,747,745,712,135625,1236,1224
2014,GCF_000367725.2,Coxiella burnetii Z3055,777,776,118968,118969,1236,1224
2014,GCF_000158275.2,Fusobacterium nucleatum subsp. animalis 7_1,851,848,203492,203491,203490,32066
2014,GCF_000163915.2,Fusobacterium nucleatum subsp. vincentii 3_1_27,851,848,203492,203491,203490,32066
2014,GCF_000632815.1,Ehrlichia chaffeensis str. Heartland,945,943,942,766,28211,1224
2014,GCF_000632865.1,Ehrlichia chaffeensis str. Jax,945,943,942,766,28211,1224
2014,GCF_000632885.1,Ehrlichia chaffeensis str. Liberty,945,943,942,766,28211,1224
2014,GCF_000632905.1,Ehrlichia chaffeensis str. Osceola,945,943,942,766,28211,1224
2014,GCF_000632925.1,Ehrlichia chaffeensis str. Saint Vincent,945,943,942,766,28211,1224
2014,GCF_000632945.1,Ehrlichia chaffeensis str. Wakulla,945,943,942,766,28211,1224
2014,GCF_000632965.1,Ehrlichia chaffeensis str. West Paces,945,943,942,766,28211,1224
2014,GCF_000525675.1,Bdellovibrio bacteriovorus W,959,958,213483,213481,1553900,1224
2014,GCF_000691605.1,Bdellovibrio bacteriovorus,959,958,213483,213481,1553900,1224
2014,GCF_000750195.1,Cellulophaga lytica,979,104264,49546,200644,117743,976
2014,GCF_000478825.2,Synechocystis sp. PCC 6714,1147,1142,1890428,1890424,NA,1117
2014,GCF_000512955.1,Leuconostoc mesenteroides KFRI-MG,1245,1243,81850,186826,91061,1239
2014,GCF_000725405.1,Dermacoccus nishinomiyaensis,1274,57495,145357,85006,1760,201174
2014,GCF_000568455.1,Staphylococcus aureus USA300-ISMMS1,1280,1279,90964,1385,91061,1239
2014,GCF_000597965.1,Staphylococcus aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000695215.1,Staphylococcus aureus subsp. aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000695875.1,Staphylococcus aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000737615.1,Staphylococcus aureus subsp. aureus SA268,1280,1279,90964,1385,91061,1239
2014,GCF_000746505.1,Staphylococcus aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000756205.1,Staphylococcus aureus subsp. aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000769575.1,Staphylococcus aureus subsp. aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000772025.1,Staphylococcus aureus subsp. aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000953255.1,Staphylococcus aureus,1280,1279,90964,1385,91061,1239
2014,GCF_000751035.1,Staphylococcus epidermidis PM221,1282,1279,90964,1385,91061,1239
2014,GCF_000759555.1,Staphylococcus epidermidis,1282,1279,90964,1385,91061,1239
2014,GCF_000706685.1,Staphylococcus xylosus,1288,1279,90964,1385,91061,1239
2014,GCF_000709415.1,Staphylococcus xylosus,1288,1279,90964,1385,91061,1239
2014,GCF_000953575.1,Staphylococcus xylosus,1288,1279,90964,1385,91061,1239
2014,GCF_000785515.1,Streptococcus salivarius,1304,1301,1300,186826,91061,1239
2014,GCF_000732355.1,Streptococcus suis 6407,1307,1301,1300,186826,91061,1239
2014,GCF_000698885.1,Streptococcus thermophilus ASCC 1275,1308,1301,1300,186826,91061,1239
2014,GCF_000689235.1,Streptococcus agalactiae COH1,1311,1301,1300,186826,91061,1239
2014,GCF_000730215.1,Streptococcus agalactiae,1311,1301,1300,186826,91061,1239
2014,GCF_000730255.1,Streptococcus agalactiae,1311,1301,1300,186826,91061,1239
2014,GCF_000782855.1,Streptococcus agalactiae CNCTC 10/84,1311,1301,1300,186826,91061,1239
2014,GCF_000831105.1,Streptococcus agalactiae,1311,1301,1300,186826,91061,1239
2014,GCF_000831125.1,Streptococcus agalactiae,1311,1301,1300,186826,91061,1239
2014,GCF_000831145.1,Streptococcus agalactiae,1311,1301,1300,186826,91061,1239
2014,GCF_000006785.2,Streptococcus pyogenes M1 GAS,1314,1301,1300,186826,91061,1239
2014,GCF_000011765.3,Streptococcus pyogenes MGAS5005,1314,1301,1300,186826,91061,1239
2014,GCF_000732425.1,Streptococcus pyogenes STAB902,1314,1301,1300,186826,91061,1239
2014,GCF_000743015.1,Streptococcus pyogenes,1314,1301,1300,186826,91061,1239
2014,GCF_000756485.1,Streptococcus pyogenes,1314,1301,1300,186826,91061,1239
2014,GCF_000767505.1,Streptococcus pyogenes,1314,1301,1300,186826,91061,1239
2014,GCF_000772185.1,Streptococcus pyogenes,1314,1301,1300,186826,91061,1239
2014,GCF_000772245.1,Streptococcus pyogenes,1314,1301,1300,186826,91061,1239
2014,GCF_000831165.1,Streptococcus anginosus,1328,1301,1300,186826,91061,1239
2014,GCF_000696505.1,Streptococcus equi subsp. zooepidemicus CY,1336,1301,1300,186826,91061,1239
2014,GCF_000550745.1,Enterococcus faecalis DENG1,1351,1350,81852,186826,91061,1239
2014,GCF_000742975.1,Enterococcus faecalis ATCC 29212,1351,1350,81852,186826,91061,1239
2014,GCF_000737555.1,Enterococcus faecium T110,1352,1350,81852,186826,91061,1239
2014,GCF_000478255.1,Lactococcus lactis subsp. lactis NCDO 2118,1358,1357,1300,186826,91061,1239
2014,GCF_000761115.1,Lactococcus lactis,1358,1357,1300,186826,91061,1239
2014,GCF_000807375.1,Lactococcus lactis subsp. lactis,1358,1357,1300,186826,91061,1239
2014,GCF_000583105.1,Bacillus anthracis str. SVA11,1392,1386,186817,1385,91061,1239
2014,GCF_000725325.1,Bacillus anthracis,1392,1386,186817,1385,91061,1239
2014,GCF_000742655.1,Bacillus anthracis,1392,1386,186817,1385,91061,1239
2014,GCF_000742895.1,Bacillus anthracis str. Vollum,1392,1386,186817,1385,91061,1239
2014,GCF_000789315.1,Bacillus cereus,1396,1386,186817,1385,91061,1239
2014,GCF_000775975.1,Bacillus mycoides,1405,1386,186817,1385,91061,1239
2014,GCF_000507205.3,Paenibacillus polymyxa CR1,1406,44249,186822,1385,91061,1239
2014,GCF_000597985.1,Paenibacillus polymyxa SQR-21,1406,44249,186822,1385,91061,1239
2014,GCF_000590455.1,Bacillus pumilus,1408,1386,186817,1385,91061,1239
2014,GCF_000209795.2,Bacillus subtilis subsp. natto BEST195,1423,1386,186817,1385,91061,1239
2014,GCF_000699465.1,Bacillus subtilis subsp. subtilis str. JH642 substr. AG174,1423,1386,186817,1385,91061,1239
2014,GCF_000699525.1,Bacillus subtilis subsp. subtilis str. AG1839,1423,1386,186817,1385,91061,1239
2014,GCF_000706705.1,Bacillus subtilis subsp. subtilis str. OH 131.1,1423,1386,186817,1385,91061,1239
2014,GCF_000737405.1,Bacillus subtilis TO-A,1423,1386,186817,1385,91061,1239
2014,GCF_000772125.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000772165.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000772205.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000782835.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000789275.1,Bacillus subtilis subsp. subtilis str. 168,1423,1386,186817,1385,91061,1239
2014,GCF_000789295.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000953615.1,Bacillus subtilis,1423,1386,186817,1385,91061,1239
2014,GCF_000688795.1,Bacillus thuringiensis serovar kurstaki str. YBT-1520,1428,1386,186817,1385,91061,1239
2014,GCF_000717535.1,Bacillus thuringiensis serovar kurstaki str. HD-1,1428,1386,186817,1385,91061,1239
2014,GCF_000747545.1,Bacillus thuringiensis serovar kurstaki str. YBT-1520,1428,1386,186817,1385,91061,1239
2014,GCF_000803665.1,Bacillus thuringiensis serovar galleriae,1428,1386,186817,1385,91061,1239
2014,GCF_000219535.2,Brevibacillus laterosporus LMG 15441,1465,55080,186822,1385,91061,1239
2014,GCF_000724485.1,Bacillus methanolicus MGA3,1471,1386,186817,1385,91061,1239
2014,GCF_000789355.1,Clostridium botulinum 202F,1491,1485,31979,186802,186801,1239
2014,GCF_000953275.1,Clostridioides difficile,1496,1870884,186804,186802,186801,1239
2014,GCF_000807175.1,Clostridium pasteurianum DSM 525 = ATCC 6013,1501,1485,31979,186802,186801,1239
2014,GCF_000807255.1,Clostridium pasteurianum DSM 525 = ATCC 6013,1501,1485,31979,186802,186801,1239
2014,GCF_000767745.1,Clostridium beijerinckii ATCC 35702,1520,1485,31979,186802,186801,1239
2014,GCF_000789395.1,Clostridium baratii str. Sullivan,1561,1485,31979,186802,186801,1239
2014,GCF_000309565.2,Lactobacillus casei 12A,1582,1578,33958,186826,91061,1239
2014,GCF_000525715.1,Lactobacillus helveticus H9,1587,1578,33958,186826,91061,1239
2014,GCF_000604105.1,Lactobacillus plantarum DOMLa,1590,1578,33958,186826,91061,1239
2014,GCF_000582665.1,Lactobacillus paracasei N1115,1597,1578,33958,186826,91061,1239
2014,GCF_000758365.1,Lactobacillus salivarius,1624,1578,33958,186826,91061,1239
2014,GCF_000565155.1,Listeria ivanovii WSLC3009,1638,1637,186820,1385,91061,1239
2014,GCF_000763475.1,Listeria ivanovii subsp. londoniensis,1638,1637,186820,1385,91061,1239
2014,GCF_000763495.1,Listeria ivanovii subsp. londoniensis,1638,1637,186820,1385,91061,1239
2014,GCF_000763515.1,Listeria ivanovii subsp. ivanovii,1638,1637,186820,1385,91061,1239
2014,GCF_000093125.2,Listeria monocytogenes 08-5578,1639,1637,186820,1385,91061,1239
2014,GCF_000513595.1,Listeria monocytogenes serotype 1/2a str. 08-6569,1639,1637,186820,1385,91061,1239
2014,GCF_000513615.1,Listeria monocytogenes serotype 4b str. 81-0861,1639,1637,186820,1385,91061,1239
2014,GCF_000513635.1,Listeria monocytogenes serotype 1/2a str. 08-6997,1639,1637,186820,1385,91061,1239
2014,GCF_000513655.1,Listeria monocytogenes serotype 1/2a str. 10-0815,1639,1637,186820,1385,91061,1239
2014,GCF_000513675.1,Listeria monocytogenes serotype 1/2a str. 10-1047,1639,1637,186820,1385,91061,1239
2014,GCF_000513695.1,Listeria monocytogenes serotype 1/2a str. 88-0478,1639,1637,186820,1385,91061,1239
2014,GCF_000568475.1,Listeria monocytogenes WSLC1001,1639,1637,186820,1385,91061,1239
2014,GCF_000568935.1,Listeria monocytogenes WSLC1042,1639,1637,186820,1385,91061,1239
2014,GCF_000577745.1,Listeria monocytogenes 6179,1639,1637,186820,1385,91061,1239
2014,GCF_000600015.1,Listeria monocytogenes,1639,1637,186820,1385,91061,1239
2014,GCF_000613085.1,Listeria monocytogenes R479a,1639,1637,186820,1385,91061,1239
2014,GCF_000681515.1,Listeria monocytogenes,1639,1637,186820,1385,91061,1239
2014,GCF_000746625.1,Listeria monocytogenes,1639,1637,186820,1385,91061,1239
2014,GCF_000800335.1,Listeria monocytogenes,1639,1637,186820,1385,91061,1239
2014,GCF_000808055.1,Listeria monocytogenes,1639,1637,186820,1385,91061,1239
2014,GCF_000612055.1,Trueperella pyogenes,1661,1069494,2049,2037,1760,201174
2014,GCF_000737885.1,Bifidobacterium adolescentis,1680,1678,31953,85004,1760,201174
2014,GCF_000568955.1,Bifidobacterium breve 12L,1685,1678,31953,85004,1760,201174
2014,GCF_000568975.1,Bifidobacterium breve JCM 7017,1685,1678,31953,85004,1760,201174
2014,GCF_000569015.1,Bifidobacterium breve JCM 7019,1685,1678,31953,85004,1760,201174
2014,GCF_000569035.1,Bifidobacterium breve NCFB 2258,1685,1678,31953,85004,1760,201174
2014,GCF_000569055.1,Bifidobacterium breve 689b,1685,1678,31953,85004,1760,201174
2014,GCF_000569075.1,Bifidobacterium breve S27,1685,1678,31953,85004,1760,201174
2014,GCF_000737865.1,Bifidobacterium coryneforme,1687,1678,31953,85004,1760,201174
2014,GCF_000706765.1,Bifidobacterium indicum LMG 11587 = DSM 20214,1691,1678,31953,85004,1760,201174
2014,GCF_000800475.2,Bifidobacterium pseudolongum PV8-2,1694,1678,31953,85004,1760,201174
2014,GCF_000742715.1,Corynebacterium glutamicum,1718,1716,1653,85007,1760,201174
2014,GCF_000742735.1,Corynebacterium glutamicum,1718,1716,1653,85007,1760,201174
2014,GCF_000730365.1,Corynebacterium pseudotuberculosis,1719,1716,1653,85007,1760,201174
2014,GCF_000730405.1,Corynebacterium pseudotuberculosis,1719,1716,1653,85007,1760,201174
2014,GCF_000730445.1,Corynebacterium pseudotuberculosis,1719,1716,1653,85007,1760,201174
2014,GCF_000597865.1,Peptoclostridium acidaminophilum DSM 3953,1731,1481960,186804,186802,186801,1239
2014,GCF_000734015.1,Thermodesulfobacterium commune DSM 2178,1741,1740,188711,188710,67799,200940
2014,GCF_000709495.1,Cutibacterium acnes hdn-1,1747,1912216,31957,85009,1760,201174
2014,GCF_000767605.1,Mycolicibacterium smegmatis MC2 155,1772,1866885,1762,85007,1760,201174
2014,GCF_000767665.1,Mycolicibacterium smegmatis,1772,1866885,1762,85007,1760,201174
2014,GCF_000767705.1,Mycolicibacterium smegmatis,1772,1866885,1762,85007,1760,201174
2014,GCF_000194075.2,Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743,1773,1763,1762,85007,1760,201174
2014,GCF_000572125.1,Mycobacterium tuberculosis HKBS1,1773,1763,1762,85007,1760,201174
2014,GCF_000572155.1,Mycobacterium tuberculosis BT2,1773,1763,1762,85007,1760,201174
2014,GCF_000572175.1,Mycobacterium tuberculosis BT1,1773,1763,1762,85007,1760,201174
2014,GCF_000572195.1,Mycobacterium tuberculosis CCDC5180,1773,1763,1762,85007,1760,201174
2014,GCF_000698475.1,Mycobacterium tuberculosis K,1773,1763,1762,85007,1760,201174
